📺卫视TEST,#genre#

河北卫视,http://106.115.24.140:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&down=1
北京卫视,http://106.115.24.140:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&down=1
湖南卫视,http://106.115.24.140:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&down=1
黑龙江卫视,http://106.115.24.140:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&down=1
深圳卫视,http://106.115.24.140:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&down=1
江苏卫视,http://106.115.24.140:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&down=1
东方卫视,http://106.115.24.140:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&down=1
浙江卫视,http://106.115.24.140:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&down=1
天津卫视,http://106.115.24.140:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&down=1
安徽卫视,http://106.115.24.140:9901/tsfile/live/faacts/0130_1.m3u8?key=txiptv&playlive=1&down=1
辽宁卫视,http://106.115.24.140:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&down=1
山东卫视,http://106.115.24.140:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&down=1
云南卫视,http://106.115.24.140:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&down=1
河南卫视,http://106.115.24.140:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&down=1
四川卫视,http://106.115.24.140:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&down=1
江西卫视,http://106.115.24.140:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&down=1
贵州卫视,http://106.115.24.140:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&down=1
湖北卫视,http://106.115.24.140:9901/tsfile/live/faacts/0132_1.m3u8?key=txiptv&playlive=1&down=1
重庆卫视,http://106.115.24.140:9901/tsfile/live/faacts/0142_1.m3u8?key=txiptv&playlive=1&down=1
东南卫视,http://106.115.24.140:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&down=1
广东卫视,http://106.115.24.140:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&down=1
广西卫视,http://106.115.24.140:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&down=1
吉林卫视,http://106.115.24.140:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&down=1
陕西卫视,http://106.115.24.140:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&down=1
山西卫视,http://106.115.24.140:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&down=1
内蒙古卫视,http://106.115.24.140:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&down=1
青海卫视,http://106.115.24.140:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&down=1
宁夏卫视,http://106.115.24.140:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&down=1
西藏卫视,http://106.115.24.140:9901/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&down=1
新疆卫视,http://106.115.24.140:9901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&down=1
甘肃卫视,http://106.115.24.140:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&down=1
河北卫视,http://106.115.24.82:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&down=1
北京卫视,http://106.115.24.82:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&down=1
湖南卫视,http://106.115.24.82:9901/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&down=1
黑龙江卫视,http://106.115.24.82:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&down=1
深圳卫视,http://106.115.24.82:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&down=1
江苏卫视,http://106.115.24.82:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&down=1
东方卫视,http://106.115.24.82:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&down=1
浙江卫视,http://106.115.24.82:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&down=1
天津卫视,http://106.115.24.82:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&down=1
安徽卫视,http://106.115.24.82:9901/tsfile/live/faacts/0130_1.m3u8?key=txiptv&playlive=1&down=1
辽宁卫视,http://106.115.24.82:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&down=1
山东卫视,http://106.115.24.82:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&down=1
云南卫视,http://106.115.24.82:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&down=1
河南卫视,http://106.115.24.82:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&down=1
四川卫视,http://106.115.24.82:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&down=1
江西卫视,http://106.115.24.82:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&down=1
贵州卫视,http://106.115.24.82:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&down=1
湖北卫视,http://106.115.24.82:9901/tsfile/live/faacts/0132_1.m3u8?key=txiptv&playlive=1&down=1
重庆卫视,http://106.115.24.82:9901/tsfile/live/faacts/0142_1.m3u8?key=txiptv&playlive=1&down=1
东南卫视,http://106.115.24.82:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&down=1
广东卫视,http://106.115.24.82:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&down=1
广西卫视,http://106.115.24.82:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&down=1
吉林卫视,http://106.115.24.82:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&down=1
陕西卫视,http://106.115.24.82:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&down=1
山西卫视,http://106.115.24.82:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&down=1
内蒙古卫视,http://106.115.24.82:9901/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&down=1
青海卫视,http://106.115.24.82:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&down=1
宁夏卫视,http://106.115.24.82:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&down=1
